First Contact,Name,Gender,Email,Phone,Interest Building
2022-10-22,Romuald Thanel,F,holstenfatima@aol.de,890974095795,Building A
2022-11-01,Dr. Siegrid Naser,M,sergei87@gmx.de,896259351853,Building E
2022-11-09,Dr. Margaret Mies B.Sc.,M,hesscelal@aol.de,871982000025,Building F
2022-11-24,André Wende,M,amanda32@yahoo.de,814563282045,Building D
2022-11-02,Hansjürgen Hölzenbecher,F,geert85@aol.de,889596393341,Building F
2022-11-14,Jacqueline Barkholz,M,pkeudel@seip.net,842950597564,Building G
2022-10-28,Dr. Hedy Seifert MBA.,M,pirmin19@aol.de,806428664219,Building B
2022-11-11,Friedo Mielcarek,M,kamilwernecke@aol.de,886103687580,Building A
2022-11-29,Ing. Hans-Gerhard Matthäi MBA.,F,vhoerle@schenk.com,882371899823,Building G
2022-11-24,Henning Wesack,F,cichoriuselfie@ernst.com,844560567432,Building D
2022-11-27,Mariana Textor-Trommler,F,potto@googlemail.com,897184500187,Building D
2022-10-14,Nancy Gerlach,M,pasqualetrub@gmx.de,867858945262,Building G
2022-11-17,Dr. Cosima Misicher B.Eng.,F,carsten20@gmail.com,864539026371,Building B
2022-11-14,Ing. Nathalie Schleich MBA.,M,brunikrein@yahoo.de,871384665273,Building B
2022-11-03,Conrad Fröhlich,M,abluemel@gmx.de,823291364442,Building B
2022-10-01,Dipl.-Ing. Liesa Müller,M,leonardobohnbach@zobel.org,871737878053,Building C
2022-11-25,Anne-Marie Kusch,M,bartholomaeuspoelitz@krein.net,807048196357,Building D
2022-10-29,Hubertine Weitzel,F,pbeyer@jaehn.de,863540283117,Building F
2022-11-10,Univ.Prof. Miroslav Bachmann B.A.,M,mona58@wagenknecht.de,867469237633,Building F
2022-10-03,Dajana Ring,F,ingehuhn@graf.net,821661753643,Building G
2022-11-03,Karl-Wilhelm Finke,M,gitta92@web.de,866646664941,Building F
2022-11-01,Nurten Neureuther,F,rene39@gmail.com,830325486032,Building A
2022-11-08,Dorle Bolnbach,F,michaele59@fliegner.net,860257075943,Building D
2022-10-24,Leni Dietz,M,gerlachgertraud@hotmail.de,820515396869,Building G
2022-10-07,Arzu Jungfer-Rosenow,M,jbarkholz@aol.de,808898404289,Building G
2022-11-10,Gesa Schenk B.A.,M,anne-katrinbenthin@googlemail.com,824507605571,Building B
2022-10-04,Wiltrud Kusch,F,welleranneke@wulf.net,872915673828,Building B
2022-10-21,Dipl.-Ing. Cemil Reising,F,rubenroemer@mielcarek.com,849493903340,Building D
2022-10-08,Ing. Hans-Jochen Beyer,M,xtrapp@hotmail.de,834824088629,Building F
2022-11-12,Heinz-Wilhelm Stiebitz,M,miroslavstiffel@gmail.com,815168910364,Building B
2022-11-04,Raimund Klingelhöfer B.A.,M,elzbieta63@koch.com,843211850718,Building A
2022-11-24,Urs Stadelmann-Noack,M,klaudiarenner@harloff.com,863976185498,Building F
2022-10-16,Darius Sager,F,ivanka87@salz.net,896592015634,Building A
2022-11-10,Adele Rogge B.Eng.,M,nroerricht@googlemail.com,808245578519,Building C
2022-11-09,Hans-Ludwig Ullmann,M,rocco39@yahoo.de,844770650870,Building D
2022-11-11,Rosemarie Seip B.Sc.,F,hans-dieterhaering@aol.de,817828111029,Building G
2022-11-05,Enrico Höfig,F,gitte41@hotmail.de,813541224848,Building B
2022-10-09,Dipl.-Ing. Kasimir Keudel MBA.,M,hermannmarek@gmx.de,887662465893,Building E
2022-10-10,Sibilla Schaaf,F,baerbel11@hesse.net,855278336982,Building F
2022-10-16,Dipl.-Ing. Aleksej Scholtz MBA.,M,jkitzmann@wirth.net,889866063851,Building E
2022-10-08,Reiner Jacobi Jäckel B.Eng.,F,eberhardtrupp@foerster.net,801124888945,Building C
2022-10-29,Melitta Berger,M,ehlertvalerie@walter.de,801140079129,Building A
2022-11-04,Reinhilde Fechner,F,adrianaroht@soeding.de,811991124046,Building A
2022-10-10,Sven Lehmann,F,anette02@googlemail.com,857480115454,Building E
2022-10-04,Jiri Ullmann-Plath,F,patberghenrik@aol.de,870000829679,Building G
2022-10-12,Frau Camilla Kallert,M,hermann-josef94@gmx.de,824098596951,Building C
2022-11-27,Anne-Rose Hölzenbecher B.Eng.,M,beerhorst@junken.com,828374013897,Building C
2022-10-25,Herr Rafael Langern,F,gehringermichail@gmx.de,806310199799,Building F
2022-10-29,Univ.Prof. Peer Drub,M,catrinscheibe@roehricht.de,820351349784,Building D
2022-10-01,Ing. Karin Briemer,M,mbriemer@sauer.org,844967771609,Building A
2022-10-20,Herr Marek Weller B.Sc.,M,kostolzinjacob@caspar.de,858421442202,Building D
2022-10-11,Evelyn Bärer B.Sc.,F,wweiss@googlemail.com,825798564530,Building E
2022-10-18,Violetta Spieß,F,schinkeluigi@kitzmann.de,897718064550,Building A
2022-11-14,Hans-Rainer Mülichen,M,ovollbrecht@kensy.com,828400993193,Building F
2022-10-15,Jolanta Lübs,M,magdalena81@ring.net,854816824097,Building E
2022-10-25,Dr. Arndt Atzler,M,eimerrobin@franke.com,840263253191,Building C
2022-11-27,Univ.Prof. Belinda Rogner B.Sc.,M,qsaeuberlich@googlemail.com,819528745535,Building D
2022-10-25,Herr Roland Hölzenbecher,F,gutknechtandy@sauer.com,898383515231,Building F
2022-10-21,Ana Kraushaar-Preiß,M,xadler@ackermann.org,821131353373,Building C
2022-11-21,Dr. Harriet Loos,F,mustafa12@gmail.com,861096834531,Building F
2022-10-27,Janna Metz,F,tnoack@aol.de,840316928458,Building C
2022-11-25,Kuno Klemt,M,salzheinfried@gmail.com,837380694624,Building A
2022-10-11,Prof. Hermann Freudenberger B.Sc.,F,berndtthanel@steckel.org,873355494912,Building E
2022-11-28,Matteo van der Dussen-Putz,M,beersteven@googlemail.com,860053119155,Building A
2022-11-13,Dipl.-Ing. Fatma Tschentscher B.Sc.,M,vlachmann@tschentscher.de,826601324235,Building B
2022-10-20,Sabri Stiffel,M,groettnerraik@gmail.com,892850357379,Building G
2022-10-15,Dipl.-Ing. Loretta Kramer,M,benita69@yahoo.de,828927566849,Building A
2022-11-18,Annemarie Pölitz,M,alfonskuhl@stroh.com,806418682285,Building B
